,character,character_HTML,pinyin_HTML,english_gloss,example1,example2,example3,example4,example5,chinese_sentence_HTML,english_translation,pinyin_sentence,stroke_order_image,char_set_number,audio_full_path,pinyin,pinyin_nfd,tone
458,医,"<span class=""tone1"">医</span>","<span class=""tone1"">yī</span><!--yi-->",medical; medicine; doctor; to cure; to treat,"<span class=""tone1"">医</span><span class=""tone1"">生</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone1"">shēng</span> － doctor}}","<span class=""tone1"">医</span><span class=""tone4"">院</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">yuàn</span> － hospital}}",,,,"在中国，<span class=""highlight"">医</span>生也叫大夫。","In China, doctors are also called ""daifu"".",,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21307.gif"" alt=""医""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-6165e86e-17b297f8-e472d684-55ae9ae0-118816cb.wav,yī,yī,Tone 1 ( ̄)
459,贵,"<span class=""tone4"">贵</span>","<span class=""tone4"">guì</span><!--gui-->",expensive,"<span class=""tone4"">贵</span><span class=""tone4"">姓</span>{{c1:: － <span class=""tone4"">guì</span><span class=""tone4"">xìng</span> － family name}}",,,,,"这些草莓真<span class=""highlight"">贵</span>。",These strawberries are really expensive.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/36149.gif"" alt=""贵""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-7762b9a4-9d3a17a0-c78b5753-6339fa46-7ab4d440.wav,guì,guì,Tone 4 ( ̀)
460,您,"<span class=""tone2"">您</span>","<span class=""tone2"">nín</span><!--nin-->",you (formal),"<span class=""tone2"">您</span><span class=""tone3"">好</span>{{c1:: － <span class=""tone2"">nín</span><span class=""tone3"">hǎo</span> － hello (polite)}}",,,,,"祝<span class=""highlight"">您</span>健康长寿！",I wish you a long and healthy life.,Zhù nín jiànkāng chángshòu!,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/24744.gif"" alt=""您""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-759273ff-f3c409dc-5c5f709d-0d61ce23-5a4ba206.wav,nín,nín,Tone 2 ( ́)
461,束,"<span class=""tone4"">束</span>","<span class=""tone4"">shù</span><!--shu-->","to bind; bunch; bundle; {MW} bunches, bundles, beams of light etc","<span class=""tone1"">花</span><span class=""tone4"">束</span>{{c1:: － <span class=""tone1"">huā</span><span class=""tone4"">shù</span> － bouquet}}","<span class=""tone1"">光</span><span class=""tone4"">束</span>{{c1:: － <span class=""tone1"">guāng</span><span class=""tone4"">shù</span> － light beam}}",,,,"男朋友送我一<span class=""highlight"">束</span>玫瑰花。",My boyfriend gave me a bunch of roses.,Nánpéngyou sòng wǒ yī shù méiguihuā.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26463.gif"" alt=""束""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-173e72df-3264c968-75938fbb-3a664e2f-bd14a0c2.wav,shù,shù,Tone 4 ( ̀)
462,整,"<span class=""tone3"">整</span>","<span class=""tone3"">zhěng</span><!--zheng-->",entire,"<span class=""tone2"">完</span><span class=""tone3"">整</span>{{c1:: － <span class=""tone2"">wán</span><span class=""tone3"">zhěng</span> － complete; integrated}}","<span class=""tone3"">整</span><span class=""tone3"">理</span>{{c1:: － <span class=""tone3"">zhěng</span><span class=""tone3"">lǐ</span> － put in order; tidy up}}",,,,"队伍很<span class=""highlight"">整</span>齐。",The procession is very orderly.,Duìwǔ hěn zhěngqí.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25972.gif"" alt=""整""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-a8af1a20-bae28838-9bd6612d-6635edc9-48ee2c2d.wav,zhěng,zhěng,Tone 3 ( ̌)
463,嗽,"<span class=""tone4"">嗽</span>","<span class=""tone4"">sòu</span><!--shu-->",cough,"<span class=""tone2"">咳</span><span class=""tone5"">嗽</span>{{c1:: － <span class=""tone2"">ké</span><span class=""tone5"">sou</span> － to cough}}",,,,,"她有点咳<span class=""highlight"">嗽</span>。",She has a little cough.,Tā yǒudiǎn késou.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22013.gif"" alt=""嗽""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-31720573-4d53b022-6aa55374-8d622acb-7f0bf3f4.wav,sòu,sòu,Tone 4 ( ̀)
464,该,"<span class=""tone1"">该</span>","<span class=""tone1"">gāi</span><!--gai-->",should; ought,"<span class=""tone1"">应</span><span class=""tone1"">该</span>{{c1:: － <span class=""tone1"">yīng</span><span class=""tone1"">gāi</span> － should; ought to}}","<span class=""tone4"">不</span><span class=""tone1"">该</span>{{c1:: － <span class=""tone4"">bù</span><span class=""tone1"">gāi</span> － should not}}",,,,"学生应<span class=""highlight"">该</span>认真学习。",Students should study seriously.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35813.gif"" alt=""该""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-bfcda0a3-9474da09-4d5a69a9-090f5a27-407acc42.wav,gāi,gāi,Tone 1 ( ̄)
465,孩,"<span class=""tone2"">孩</span>","<span class=""tone2"">hái</span><!--hai-->",child,"<span class=""tone2"">孩</span><span class=""tone5"">子</span>{{c1:: － <span class=""tone2"">hái</span><span class=""tone5"">zi</span> － child}}","<span class=""tone3"">小</span><span class=""tone2"">孩</span><span class=""tone5"">儿</span>{{c1:: － <span class=""tone3"">xiǎo</span><span class=""tone2"">hái</span><span class=""tone5"">r</span> － child}}",,,,"小<span class=""highlight"">孩</span>子在扮鬼。",The child is dressed up as a ghost.,Xiǎoháizi zài bàn guǐ.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23401.gif"" alt=""孩""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-3b2dcba7-2ddff168-93c92dc4-f2123a5e-b7f349e7.wav,hái,hái,Tone 2 ( ́)
466,咳,"<span class=""tone2"">咳</span>","<span class=""tone2"">ké</span><!--hai-->",to cough,"<span class=""tone2"">咳</span><span class=""tone5"">嗽</span>{{c1:: － <span class=""tone2"">ké</span><span class=""tone5"">sou</span> － to cough}}","<span class=""tone3"">北</span><span class=""tone1"">京</span><span class=""tone2"">咳</span>{{c1:: － <span class=""tone3"">běi</span><span class=""tone1"">jīng</span><span class=""tone2"">ké</span> － ""Beijing cough""}}",,,,"她有点<span class=""highlight"">咳</span>嗽。",She has a little cough.,Tā yǒudiǎn késou.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21683.gif"" alt=""咳""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-2d894e88-020bd35c-71da7bff-de808032-4f4cbc47.wav,ké,ké,Tone 2 ( ́)
467,刻,"<span class=""tone4"">刻</span>","<span class=""tone4"">kè</span><!--ke-->",quarter (of an hour); moment,"<span class=""tone4"">立</span><span class=""tone4"">刻</span>{{c1:: － <span class=""tone4"">lì</span><span class=""tone4"">kè</span> － at once}}","<span class=""tone4"">刻</span><span class=""tone3"">苦</span>{{c1:: － <span class=""tone4"">kè</span><span class=""tone3"">kǔ</span> － hardworking; painstaking}}","<span class=""tone1"">一</span><span class=""tone3"">点</span><span class=""tone1"">三</span><span class=""tone4"">刻</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone3"">diǎn</span><span class=""tone1"">sān</span><span class=""tone4"">kè</span> － 1:45}}",,,"现在是九点一<span class=""highlight"">刻</span>。",It's a quarter past nine.,Xiànzài shì jiǔ diǎn yī kè.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21051.gif"" alt=""刻""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-9988439d-4b070580-d195b9ac-b30bff9e-7a03d5ab.wav,kè,kè,Tone 4 ( ̀)
468,谁,"<span class=""tone2"">谁</span>","<span class=""tone2"">shéi</span><!--shei-->",who,"<span class=""tone2"">谁</span><span class=""tone5"">的</span>{{c1:: － <span class=""tone2"">shéi</span><span class=""tone5"">de</span> － whose?}}",,,,,"我分辨不出<span class=""highlight"">谁</span>是哥哥。",I can't tell which is the older brother.,Wǒ fēnbiàn bùchū shéi shì gēge.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35841.gif"" alt=""谁""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-c35f7895-f39d8b6a-bb5c00c4-d86d601b-17f632dc.wav,shéi,shéi,Tone 2 ( ́)
469,推,"<span class=""tone1"">推</span>","<span class=""tone1"">tuī</span><!--tui-->",push; grind; clip; deduce; shirk; postpone; elect; esteem,"<span class=""tone1"">推</span><span class=""tone3"">广</span>{{c1:: － <span class=""tone1"">tuī</span><span class=""tone3"">guǎng</span> － spread; popularize}}","<span class=""tone1"">推</span><span class=""tone4"">动</span>{{c1:: － <span class=""tone1"">tuī</span><span class=""tone4"">dòng</span> － promote; push}}",,,,"他在<span class=""highlight"">推</span>车。",He's pushing the car.,Tā zài tuīchē.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25512.gif"" alt=""推""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-802529c4-054d2e65-12b332f9-0b44fa57-14e86d66.wav,tuī,tuī,Tone 1 ( ̄)
470,难,"<span class=""tone2"">难</span>","<span class=""tone2"">nán</span><!--nan-->",difficult,"<span class=""tone2"">难</span><span class=""tone4"">过</span>{{c1:: － <span class=""tone2"">nán</span><span class=""tone4"">guò</span> － sad; grieved}}","<span class=""tone2"">难</span><span class=""tone4"">看</span>{{c1:: － <span class=""tone2"">nán</span><span class=""tone4"">kàn</span> － ugly}}",,,,"这道数学题很<span class=""highlight"">难</span>。",This math problem is very difficult.,Zhè dào shùxué tí hěn nán.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/38590.gif"" alt=""难""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-1abdfa9f-96c1b3a4-83b98a11-6db58ee6-8bbf5df5.wav,nán,nán,Tone 2 ( ́)
471,准,"<span class=""tone3"">准</span>","<span class=""tone3"">zhǔn</span><!--zhun-->",accurate,"<span class=""tone3"">准</span><span class=""tone4"">确</span>{{c1:: － <span class=""tone3"">zhǔn</span><span class=""tone4"">què</span> － accurate; exact}}","<span class=""tone3"">准</span><span class=""tone2"">时</span>{{c1:: － <span class=""tone3"">zhǔn</span><span class=""tone2"">shí</span> － punctual; on-time}}","<span class=""tone3"">准</span><span class=""tone4"">备</span>{{c1:: － <span class=""tone3"">zhǔn</span><span class=""tone4"">bèi</span> － prepare}}",,,"我<span class=""highlight"">准</span>备给朋友发邮件。",I'm getting ready to send e-mails to my friends.,Wǒ zhǔnbèi gěi péngyou fā yóujiàn.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20934.gif"" alt=""准""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-3f1bf3bb-9858dab6-866046bf-cba2c561-d4ac1d5c.wav,zhǔn,zhǔn,Tone 3 ( ̌)
472,集,"<span class=""tone2"">集</span>","<span class=""tone2"">jí</span><!--ji-->",assemble; collect,"<span class=""tone2"">集</span><span class=""tone2"">合</span>{{c1:: － <span class=""tone2"">jí</span><span class=""tone2"">hé</span> － to assemble; gather together}}","<span class=""tone2"">集</span><span class=""tone1"">中</span>{{c1:: － <span class=""tone2"">jí</span><span class=""tone1"">zhōng</span> － concentrate; focus}}",,,,"他爱好收<span class=""highlight"">集</span>模型。",His hobby is collecting models.,Tā àihào shōují móxíng.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/38598.gif"" alt=""集""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-ce6e56f0-e3027dc7-d5744124-d5c08fbb-684b8463.wav,jí,jí,Tone 2 ( ́)
473,处,"<span class=""tone3"">处</span>","<span class=""tone3"">chǔ</span><!--chu-->",place; manage (buisness or situation),"<span class=""tone3"">好</span><span class=""tone5"">处</span>{{c1:: － <span class=""tone3"">hǎo</span><span class=""tone5"">chu</span> － benefit}}","<span class=""tone3"">处</span><span class=""tone3"">理</span>{{c1:: － <span class=""tone3"">chǔ</span><span class=""tone3"">lǐ</span> － handle; deal with}}","<span class=""tone4"">坏</span><span class=""tone5"">处</span>{{c1:: － <span class=""tone4"">huài</span><span class=""tone5"">chu</span> － disadvantage; harm}}","<span class=""tone4"">用</span><span class=""tone5"">处</span>{{c1:: － <span class=""tone4"">yòng</span><span class=""tone5"">chu</span> － to use}}",,"不守时是他的短<span class=""highlight"">处</span>。",Punctuality is his weak point.,Bù shǒushí shì tā de duǎnchu.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22788.gif"" alt=""处""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-a60849d1-1bb085c3-6864400d-7b85fa5a-de77d720.wav,chǔ,chǔ,Tone 3 ( ̌)
474,各,"<span class=""tone4"">各</span>","<span class=""tone4"">gè</span><!--ge-->",each,"<span class=""tone4"">各</span><span class=""tone3"">种</span>{{c1:: － <span class=""tone4"">gè</span><span class=""tone3"">zhǒng</span> － all kinds of}}",,,,,"肥胖容易引起<span class=""highlight"">各</span>种疾病。",Obesity can bring about a range of illnesses.,Féipàng róngyì yǐnqǐ gè zhǒng jíbìng.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21508.gif"" alt=""各""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-9a3d933c-801cf165-343d0763-10776379-30973d67.wav,gè,gè,Tone 4 ( ̀)
475,路,"<span class=""tone4"">路</span>","<span class=""tone4"">lù</span><!--lu-->",path; road,"<span class=""tone4"">道</span><span class=""tone4"">路</span>{{c1:: － <span class=""tone4"">dào</span><span class=""tone4"">lù</span> － road; path}}","<span class=""tone4"">路</span><span class=""tone5"">上</span>{{c1:: － <span class=""tone4"">lù</span><span class=""tone5"">shang</span> － en route}}","<span class=""tone1"">公</span><span class=""tone4"">路</span>{{c1:: － <span class=""tone1"">gōng</span><span class=""tone4"">lù</span> － public road}}","<span class=""tone3"">马</span><span class=""tone4"">路</span>{{c1:: － <span class=""tone3"">mǎ</span><span class=""tone4"">lù</span> － street; avenue}}","<span class=""tone4"">路</span><span class=""tone3"">口</span>{{c1:: － <span class=""tone4"">lù</span><span class=""tone3"">kǒu</span> － intersection}}","<span class=""highlight"">路</span>上的行人很少。",There are very few pedestrians on the street.<br />,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/36335.gif"" alt=""路""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-a5ba115a-4b0cc47d-117792cd-d2cb6f3a-4fee0f0f.wav,lù,lù,Tone 4 ( ̀)
476,客,"<span class=""tone4"">客</span>","<span class=""tone4"">kè</span><!--ke-->",guest,"<span class=""tone4"">客</span><span class=""tone5"">气</span>{{c1:: － <span class=""tone4"">kè</span><span class=""tone5"">qi</span> － modest; polite}}","<span class=""tone4"">会</span><span class=""tone4"">客</span>{{c1:: － <span class=""tone4"">huì</span><span class=""tone4"">kè</span> － to receive visitors}}","<span class=""tone4"">做</span><span class=""tone4"">客</span>{{c1:: － <span class=""tone4"">zuò</span><span class=""tone4"">kè</span> － to visit; to be a guest}}","<span class=""tone4"">客</span><span class=""tone2"">人</span>{{c1:: － <span class=""tone4"">kè</span><span class=""tone2"">rén</span> － guest}}","<span class=""tone3"">请</span><span class=""tone4"">客</span>{{c1:: － <span class=""tone3"">qǐng</span><span class=""tone4"">kè</span> － to invite; to treat to}}","她对待<span class=""highlight"">客</span>人很友好。",She's friendly to the guests.,Tā duìdài kèren hěn yǒuhǎo.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23458.gif"" alt=""客""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-f6117900-2130b70a-14e811ca-3996343a-359953b2.wav,kè,kè,Tone 4 ( ̀)
477,病,"<span class=""tone4"">病</span>","<span class=""tone4"">bìng</span><!--bing-->",disease; fault; defect,"<span class=""tone4"">看</span><span class=""tone4"">病</span>{{c1:: － <span class=""tone4"">kàn</span><span class=""tone4"">bìng</span> － to see a doctor}}","<span class=""tone4"">病</span><span class=""tone2"">人</span>{{c1:: － <span class=""tone4"">bìng</span><span class=""tone2"">rén</span> － patient; sick person}}","<span class=""tone4"">病</span><span class=""tone2"">房</span>{{c1:: － <span class=""tone4"">bìng</span><span class=""tone2"">fáng</span> － hospital ward}}","<span class=""tone2"">毛</span><span class=""tone4"">病</span>{{c1:: － <span class=""tone2"">máo</span><span class=""tone4"">bìng</span> － problem}}","<span class=""tone1"">生</span><span class=""tone4"">病</span>{{c1:: － <span class=""tone1"">shēng</span><span class=""tone4"">bìng</span> － to become sick}}","爱滋<span class=""highlight"">病</span>迄今还无法治愈。","So far, AIDS remains incurable.",Àizībìng qìjīn hái wúfǎ zhìyù.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/30149.gif"" alt=""病""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-18f53038-df9efac0-4feacb8c-ca61e939-2650c70d.wav,bìng,bìng,Tone 4 ( ̀)
