一	"<span class=""tone1"">一</span>"	"<span class=""tone1"">yī</span><!--yi-->"	one	"<span class=""tone1"">一</span><span class=""tone4"">个</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">gè</span> － one of}}"	"<span class=""tone1"">一</span><span class=""tone3"">本</span><span class=""tone1"">书</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone3"">běn</span><span class=""tone1"">shū</span> － a book}}"	"<span class=""tone1"">一</span><span class=""tone4"">次</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">cì</span> － once}}"	"<span class=""tone4"">第</span><span class=""tone1"">一</span>{{c1:: － <span class=""tone4"">dì</span><span class=""tone1"">yī</span> － first}}"		"<span class=""highlight"">一</span>二三。"	One two three.	yī èr sān 。<!--yi er san 。-->	[sound:oddcast-6401d539-04374423-203ccc64-a4a3e1fb-79a85831.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/19968.gif"" alt=""一"" style=""width:75px;height:75px;"">"	1 CharSet
给	"<span class=""tone3"">给</span> / <span class=""tone3"">给</span>"	"<span class=""tone3"">gěi</span> / <span class=""tone3"">jǐ</span>"	to give; to; for / to supply; to provide	"<span class=""tone4"">送</span><span class=""tone3"">给</span>{{c1:: － <span class=""tone4"">sòng</span><span class=""tone3"">gěi</span> － give}}"	"<span class=""tone4"">配</span><span class=""tone3"">给</span>{{c1:: － <span class=""tone4"">pèi</span><span class=""tone3"">jǐ</span> － rationing}}"	"<span class=""tone2"">传</span><span class=""tone5"">给</span>{{c1:: － <span class=""tone2"">chuán</span><span class=""tone5"">gei</span> － pass}}"	"<span class=""tone1"">供</span><span class=""tone3"">给</span>{{c1:: － <span class=""tone1"">gōng</span><span class=""tone3"">jǐ</span> － supply}}"		"请<span class=""highlight"">给</span>我一卷卫生纸。"	Please give me a roll of toilet paper.	Qǐng gěi wǒ yī juǎn wèishēngzhǐ.	[sound:oddcast-9dbaf1b8-5617c049-84a3d22b-3fe60755-25cec65f.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/32473.gif"" alt=""给""style=""width:75px;height:75px;""/>"	20 CharSet
答	"<span class=""tone2"">答</span>"	"<span class=""tone2"">dá</span><!--da-->"	answer	"<span class=""tone2"">回</span><span class=""tone2"">答</span>{{c1:: － <span class=""tone2"">huí</span><span class=""tone2"">dá</span> － to reply; to answer}}"	"<span class=""tone1"">答</span><span class=""tone5"">应</span>{{c1:: － <span class=""tone1"">dā</span><span class=""tone5"">ying</span> － to promise; to agree}}"	"<span class=""tone4"">问</span><span class=""tone2"">答</span>{{c1:: － <span class=""tone4"">wèn</span><span class=""tone2"">dá</span> － question and answer}}"			"让我来回<span class=""highlight"">答</span>这个问题。"	Let me answer this question.	ràng wǒ lái huí dá zhè ge wèn tí 。<!--rang wo lai hui da zhe ge wen ti 。-->	[sound:oddcast-3895e181-cea319c5-f00d9769-2f4f9359-e8f919cb.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/31572.gif"" alt=""答""style=""width:75px;height:75px;""/>"	20 CharSet
片	"<span class=""tone4"">片</span>"	"<span class=""tone4"">piàn</span><!--pian-->"	slice; {MW} slices of bread	"<span class=""tone4"">片</span><span class=""tone4"">面</span>{{c1:: － <span class=""tone4"">piàn</span><span class=""tone4"">miàn</span> － one sided; unilateral}}"					"他感到一<span class=""highlight"">片</span>惘然！"	He felt totally at a loss.	Tā gǎndào yī piàn wǎngrán!	[sound:oddcast-5267252b-22f3823e-9ccaf22e-cce9bfb7-f0ab04ee.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/29255.gif"" alt=""片""style=""width:75px;height:75px;""/>"	21 CharSet
叫	"<span class=""tone4"">叫</span>"	"<span class=""tone4"">jiào</span><!--jiao-->"	to call; to be named	"<span class=""tone4"">叫</span><span class=""tone4"">做</span>{{c1:: － <span class=""tone4"">jiào</span><span class=""tone4"">zuò</span> － be called; be known as}}"	"<span class=""tone4"">叫</span><span class=""tone2"">门</span>{{c1:: － <span class=""tone4"">jiào</span><span class=""tone2"">mén</span> － call at the door}}"				"他<span class=""highlight"">叫</span>什么名字？"	What's her name?	tā jiào shén me míng zi ？<!--ta jiao shen me ming zi ？-->	[sound:oddcast-7b9018ab-321cda54-21d50be0-36795fe1-47d3c0a4.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21483.gif"" alt=""叫""style=""width:75px;height:75px;""/>"	21 CharSet
啤	"<span class=""tone2"">啤</span>"	"<span class=""tone2"">pí</span><!--pi-->"	beer	"<span class=""tone2"">啤</span><span class=""tone3"">酒</span>{{c1:: － <span class=""tone2"">pí</span><span class=""tone3"">jiǔ</span> － beer}}"					"他端着<span class=""highlight"">啤</span>酒走过来。"	He came over, carrying a tray of beer.	Tā duānzhe píjiǔ zǒu guòlái.	[sound:oddcast-9ae3808c-1ad2b67b-5aa64df0-4cd7967b-24ca8e86.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21860.gif"" alt=""啤""style=""width:75px;height:75px;""/>"	21 CharSet
讲	"<span class=""tone3"">讲</span>"	"<span class=""tone3"">jiǎng</span><!--jiang-->"	to talk	"<span class=""tone3"">讲</span><span class=""tone4"">座</span>{{c1:: － <span class=""tone3"">jiǎng</span><span class=""tone4"">zuò</span> － lecture; lecture course}}"					"妈妈给孩子<span class=""highlight"">讲</span>童话故事。"	The mother is telling fairy tales to her child.	Māma gěi háizi jiǎng tónghuà gùshi.	[sound:oddcast-cca7dba7-13454036-6392242b-f961108f-9e2e726a.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35762.gif"" alt=""讲""style=""width:75px;height:75px;""/>"	21 CharSet
进	"<span class=""tone4"">进</span>"	"<span class=""tone4"">jìn</span><!--jin-->"	to enter; to proceed	"<span class=""tone4"">进</span><span class=""tone4"">去</span>{{c1:: － <span class=""tone4"">jìn</span><span class=""tone4"">qù</span> － go in}}"	"<span class=""tone4"">进</span><span class=""tone2"">来</span>{{c1:: － <span class=""tone4"">jìn</span><span class=""tone2"">lái</span> － come in}}"	"<span class=""tone4"">进</span><span class=""tone2"">行</span>{{c1:: － <span class=""tone4"">jìn</span><span class=""tone2"">xíng</span> － to conduct; to carry out}}"	"<span class=""tone2"">前</span><span class=""tone4"">进</span>{{c1:: － <span class=""tone2"">qián</span><span class=""tone4"">jìn</span> － to advance}}"	"<span class=""tone1"">先</span><span class=""tone4"">进</span>{{c1:: － <span class=""tone1"">xiān</span><span class=""tone4"">jìn</span> － advanced}}"	"群众要求政府<span class=""highlight"">进</span>行改革。"	The masses demand that the government  reform.		[sound:oddcast-41495919-7468ca1d-6b9b2712-f1709e1a-9b16e7ca.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/36827.gif"" alt=""进""style=""width:75px;height:75px;""/>"	21 CharSet
改	"<span class=""tone3"">改</span>"	"<span class=""tone3"">gǎi</span><!--gai-->"	alter	"<span class=""tone3"">改</span><span class=""tone4"">进</span>{{c1:: － <span class=""tone3"">gǎi</span><span class=""tone4"">jìn</span> － improvement}}"	"<span class=""tone3"">改</span><span class=""tone1"">期</span>{{c1:: － <span class=""tone3"">gǎi</span><span class=""tone1"">qī</span> － to change the date (of a meeting/event)}}"	"<span class=""tone3"">改</span><span class=""tone4"">日</span>{{c1:: － <span class=""tone3"">gǎi</span><span class=""tone4"">rì</span> － another day (than today)}}"	"<span class=""tone3"">改</span><span class=""tone4"">正</span>{{c1:: － <span class=""tone3"">gǎi</span><span class=""tone4"">zhèng</span> － rectify}}"	"<span class=""tone3"">改</span><span class=""tone4"">变</span>{{c1::&nbsp;－&nbsp;<span class=""tone3"">gǎi</span><span class=""tone4"">biàn</span>&nbsp;－ to change; to alter}}"	"请尽快修<span class=""highlight"">改</span>这个地方。"	Please revise this as soon as possible.	Qǐng jìnkuài xiūgǎi zhège dìfang.	[sound:oddcast-aa0aed01-bbb6e0d6-2a0bfccc-fc0060da-60d192b8.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25913.gif"" alt=""改""style=""width:75px;height:75px;""/>"	21 CharSet
况	"<span class=""tone4"">况</span>"	"<span class=""tone4"">kuàng</span><!--kuang-->"	situation	"<span class=""tone2"">情</span><span class=""tone4"">况</span>{{c1:: － <span class=""tone2"">qíng</span><span class=""tone4"">kuàng</span> － situation}}"					"他们在研究目前的状<span class=""highlight"">况</span>。"	They're studying the present situation.	Tāmen zài yánjiū mùqián de zhuàngkuàng.	[sound:oddcast-21632607-fb4421b4-1880656e-f3ba2028-600d4e78.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20917.gif"" alt=""况""style=""width:75px;height:75px;""/>"	21 CharSet
次	"<span class=""tone4"">次</span>"	"<span class=""tone4"">cì</span><!--ci-->"	{MW} for number of times; order; sequence	"<span class=""tone2"">其</span><span class=""tone4"">次</span>{{c1:: － <span class=""tone2"">qí</span><span class=""tone4"">cì</span> － next; secondly; secondary}}"	"<span class=""tone3"">两</span><span class=""tone4"">次</span>{{c1:: － <span class=""tone3"">liǎng</span><span class=""tone4"">cì</span> － twice}}"				"请把蜡烛顺<span class=""highlight"">次</span>排列。"	Please arrange these candles in order.	Qǐng bǎ làzhú shùncì páiliè.	[sound:oddcast-3afda31c-fb7fd23f-bfac46a4-946a9aad-680573a4.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/27425.gif"" alt=""次""style=""width:75px;height:75px;""/>"	21 CharSet
吹	"<span class=""tone1"">吹</span>"	"<span class=""tone1"">chuī</span><!--chui-->"	blow; puff; play (wind instruments)	"<span class=""tone1"">吹</span><span class=""tone2"">牛</span>{{c1:: － <span class=""tone1"">chuī</span><span class=""tone2"">niú</span> － boast; brag}}"	"<span class=""tone1"">吹</span><span class=""tone4"">奏</span>{{c1:: － <span class=""tone1"">chuī</span><span class=""tone4"">zòu</span> － to play (wind instruments)}}"				"一阵清风从窗口<span class=""highlight"">吹</span>来 。"	A cool breeze came in through the window.	yī zhèn qīng fēng cóng chuāng kǒu chuī lái  。<!--yi zhen qing feng cong chuang kou chui lai  。-->	[sound:oddcast-58ffa244-21d79cda-34cb7392-a993169f-530f7c8c.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21561.gif"" alt=""吹""style=""width:75px;height:75px;""/>"	21 CharSet
久	"<span class=""tone3"">久</span>"	"<span class=""tone3"">jiǔ</span><!--jiu-->"	long (time)	"<span class=""tone4"">不</span><span class=""tone3"">久</span>{{c1:: － <span class=""tone4"">bù</span><span class=""tone3"">jiǔ</span> － not long}}"	"<span class=""tone3"">好</span><span class=""tone3"">久</span>{{c1:: － <span class=""tone3"">hǎo</span><span class=""tone3"">jiǔ</span> － a long time}}"				"长城的历史很悠<span class=""highlight"">久</span>。"	The Great Wall has a very long history.	Chángchéng de lìshǐ hěn yōujiǔ.	[sound:oddcast-519aa18b-78448613-3cc4a319-d6cd833b-2272602d.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20037.gif"" alt=""久"" style=""width:75px;height:75px;"">"	21 CharSet
爱	"<span class=""tone4"">爱</span>"	"<span class=""tone4"">aì</span><!--ai-->"	to love; to like; love; affection	"<span class=""tone4"">爱</span><span class=""tone5"">人</span>{{c1:: － <span class=""tone4"">ài</span><span class=""tone5"">ren</span> － spouse}}"	"<span class=""tone4"">爱</span><span class=""tone2"">情</span>{{c1:: － <span class=""tone4"">ài</span><span class=""tone2"">qíng</span> － romantic love}}"	"<span class=""tone3"">可</span><span class=""tone4"">爱</span>{{c1:: － <span class=""tone3"">kě</span><span class=""tone4"">ài</span> － lovely; loveable; cute}}"	"<span class=""tone1"">亲</span><span class=""tone4"">爱</span>{{c1:: － <span class=""tone1"">qīn</span><span class=""tone4"">ài</span> － darling; beloved}}"		"我许诺会<span class=""highlight"">爱</span>你一生一世。"	I promise to love you all the days of my life.	wǒ xǔ nuò huì ài nǐ yī shēng yī shì 。<!--wo xu nuo hui ai ni yi sheng yi shi 。-->	[sound:oddcast-f066439a-f17b42fb-6b14af35-5ed2bdd5-d9558699.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/29233.gif"" alt=""爱""style=""width:75px;height:75px;""/>"	21 CharSet
暖	"<span class=""tone3"">暖</span>"	"<span class=""tone3"">nuǎn</span><!--nuan-->"	warm	"<span class=""tone3"">暖</span><span class=""tone5"">和</span>{{c1:: － <span class=""tone3"">nuǎn</span><span class=""tone5"">huo</span> － warm weather}}"	"<span class=""tone3"">暖</span><span class=""tone4"">气</span>{{c1:: － <span class=""tone3"">nuǎn</span><span class=""tone4"">qì</span> － central heating}}"	"<span class=""tone3"">取</span><span class=""tone3"">暖</span>{{c1:: － <span class=""tone3"">qǔ</span><span class=""tone3"">nuǎn</span> － to warm one's self}}"			"天气变<span class=""highlight"">暖</span>时 ，雪将开始融化 。"	When the weather becomes warm, the snow begin to melt.	tiān qì biàn nuǎn shí  ， xuě jiāng kāi shǐ róng huà  。<!--tian qi bian nuan shi  ， xue jiang kai shi rong hua  。-->	[sound:oddcast-89087bb6-2cbdea82-bb00ab74-f0a764ba-63820721.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26262.gif"" alt=""暖""style=""width:75px;height:75px;""/>"	21 CharSet
父	"<span class=""tone4"">父</span>"	"<span class=""tone4"">fù</span><!--fu-->"	Father	"<span class=""tone4"">父</span><span class=""tone1"">亲</span>{{c1:: － <span class=""tone4"">fù</span><span class=""tone1"">qīn</span> － father}}"					"新郎新娘和岳<span class=""highlight"">父</span>母合影。"	The bride and groom are having a picture taken with the parents of the bride.	Xīnláng xīnniáng hé yuèfùmǔ héyǐng.	[sound:oddcast-8553f1fb-de6b3b06-6699fbcd-1f7e7c36-4179c049.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/29238.gif"" alt=""父""style=""width:75px;height:75px;""/>"	21 CharSet
吧	"<span class=""tone5"">吧</span>"	"<span class=""tone5"">ba</span><!--ba-->"	let's say; suggestion particle	"<span class=""tone3"">酒</span><span class=""tone1"">吧</span>{{c1:: － <span class=""tone3"">jiǔ</span><span class=""tone1"">bā</span> － bar (place for serving drinks)}}"					"咱们去玩<span class=""highlight"">吧</span>。"	Let's go play.	Zánmen qù wánr ba.	[sound:oddcast-f48dac74-2a72d4fc-fb468372-39dfd89c-72036dc7.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21543.gif"" alt=""吧""style=""width:75px;height:75px;""/>"	21 CharSet
把	"<span class=""tone3"">把</span>"	"<span class=""tone3"">bǎ</span><!--ba-->"	a hold; a grasp; {MW} Things with handles or bunches; {P} Objects	"<span class=""tone1"">一</span><span class=""tone3"">把</span><span class=""tone1"">刀</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone3"">bǎ</span><span class=""tone1"">dāo</span> － a knife}}"					"这<span class=""highlight"">把</span>刀是钢做的。"	This knife is made of steel.	Zhè bǎ dāo shì gāng zuò de.	[sound:oddcast-7d4c77c6-072f2368-76cbba86-ce0ac6fb-9f0facba.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25226.gif"" alt=""把""style=""width:75px;height:75px;""/>"	21 CharSet
爸	"<span class=""tone4"">爸</span>"	"<span class=""tone4"">bà</span><!--ba-->"	dad	"<span class=""tone4"">爸</span><span class=""tone5"">爸</span>{{c1:: － <span class=""tone4"">bà</span><span class=""tone5"">ba</span> － father}}"					"我<span class=""highlight"">爸</span><span class=""highlight"">爸</span>是医生。"	My father is a doctor.	wǒ bà ba shì yī shēng 。<!--wo ba ba shi yi sheng 。-->	[sound:oddcast-fcdf8ec9-7259fdc3-828d66c7-ba47af3c-ec4d98c3.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/29240.gif"" alt=""爸""style=""width:75px;height:75px;""/>"	21 CharSet
爬	"<span class=""tone2"">爬</span>"	"<span class=""tone2"">pá</span><!--pa-->"	climb; crawl	"<span class=""tone2"">爬</span><span class=""tone1"">山</span>{{c1:: － <span class=""tone2"">pá</span><span class=""tone1"">shān</span> － to climb a mountain}}"					"我们明天去<span class=""highlight"">爬</span>长城。"	We are going to climb the Great Wall tomorrow.	wǒ men míng tiān qù pá cháng chéng 。<!--wo men ming tian qu pa chang cheng 。-->	[sound:oddcast-b4f4235a-75d9a65c-12f14855-95cb2999-2c56c5a1.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/29228.gif"" alt=""爬""style=""width:75px;height:75px;""/>"	21 CharSet
轻	"<span class=""tone1"">轻</span>"	"<span class=""tone1"">qīng</span><!--qing-->"	lightweight	"<span class=""tone2"">年</span><span class=""tone1"">轻</span>{{c1:: － <span class=""tone2"">nián</span><span class=""tone1"">qīng</span> － young}}"	"<span class=""tone1"">轻</span><span class=""tone1"">轻</span>{{c1:: － <span class=""tone1"">qīng</span><span class=""tone1"">qīng</span> － lightly; softly}}"				"手机可能会放出<span class=""highlight"">轻</span>微的辐射。"	Cell phones may emit a little radiation.	Shǒujī kěnéng huì fàngchū qīngwēi de fúshè.	[sound:oddcast-099afa6b-b1a36a91-8baa9217-6eea1215-a8daa728.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/36731.gif"" alt=""轻""style=""width:75px;height:75px;""/>"	15 CharSet
欢	"<span class=""tone1"">欢</span>"	"<span class=""tone1"">huān</span><!--huan-->"	joyous; merry	"<span class=""tone3"">喜</span><span class=""tone5"">欢</span>{{c1:: － <span class=""tone3"">xǐ</span><span class=""tone5"">huan</span> － to like}}"	"<span class=""tone1"">欢</span><span class=""tone4"">乐</span>{{c1:: － <span class=""tone1"">huān</span><span class=""tone4"">lè</span> － happy; joyous}}"	"<span class=""tone2"">联</span><span class=""tone1"">欢</span>{{c1:: － <span class=""tone2"">lián</span><span class=""tone1"">huān</span> － have a social gathering}}"	"<span class=""tone1"">欢</span><span class=""tone2"">迎</span>{{c1:: －&nbsp;<span class=""tone1"">huān</span><span class=""tone2"">yíng</span>&nbsp;－ welcome}}"		"<span class=""highlight"">欢</span>迎光临！"	Welcome!		[sound:oddcast-19cefef8-363d6d38-0533bafb-a7691402-9e908f67.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/27426.gif"" alt=""欢""style=""width:75px;height:75px;""/>"	21 CharSet
钟	"<span class=""tone1"">钟</span>"	"<span class=""tone1"">zhōng</span><!--zhong-->"	clock	"<span class=""tone3"">点</span><span class=""tone1"">钟</span>{{c1:: － <span class=""tone3"">diǎn</span><span class=""tone1"">zhōng</span> － o'clock}}"	"<span class=""tone1"">一</span><span class=""tone4"">刻</span><span class=""tone1"">钟</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">kè</span><span class=""tone1"">zhōng</span> － 15 minutes; quarter hour}}"	"<span class=""tone1"">钟</span><span class=""tone2"">头</span>{{c1:: － <span class=""tone1"">zhōng</span><span class=""tone2"">tóu</span> － hour}}"	"<span class=""tone1"">钟</span><span class=""tone2"">情</span>{{c1:: － <span class=""tone1"">zhōng</span><span class=""tone2"">qíng</span> － be deeply in love}}"		"送礼物千万不要送<span class=""highlight"">钟</span>。"	When giving a gift, be sure that it is not a clock.	sòng lǐ wù qiān wàn bù yào sòng zhōng 。<!--song li wu qian wan bu yao song zhong 。-->	[sound:oddcast-a01a5d6b-6f753cda-db08d3a6-07c22392-6c52e174.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/38047.gif"" alt=""钟""style=""width:75px;height:75px;""/>"	17 CharSet
